Clip ID	Word Number	Original Word	TreeTagger POS	POS	Lemma	Speaker	Start Time	End Time	SRT Line	Language	File ID	Tense	Mood	Number	Person	Gender
MF073_1964_SA_SU2012_JB_02	tt-627	Lo	ART	Determiner	el	>>s	00:00:06	00:00:13	2	Spanish	MF073_1964_SA_SU2012_JB			Singular	
MF073_1964_SA_SU2012_JB_02	tt-628	Reyes	NP	Noun	Rey	>>s	00:00:06	00:00:13	2	Spanish	MF073_1964_SA_SU2012_JB			Plural	
MF073_1964_SA_SU2012_JB_02	tt-629	Magos	NC	Noun	mago	>>s	00:00:06	00:00:13	2	Spanish	MF073_1964_SA_SU2012_JB			Plural	
MF073_1964_SA_SU2012_JB_02	tt-630	.	FS	Punctuation	.	>>s	00:00:06	00:00:13	2	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-631	Santa	NP	Noun	Santa	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB			Singular	
MF073_1964_SA_SU2012_JB_02	tt-632	Claus	NP	Noun	<unknown>	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB			Plural	
MF073_1964_SA_SU2012_JB_02	tt-633	y	CC	Conjunction	y	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-634	eso	DM	Determiner	ese	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB			Singular	
MF073_1964_SA_SU2012_JB_02	tt-635	no	NEG	Adverb	no	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-636	existe	VLfin	Verb	existir	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB	Pret	Indi	Sing	2nd
MF073_1964_SA_SU2012_JB_02	tt-637	tanto	ADV	Adverb	tanto	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-638	para	PREP	Preposition	para	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-639	México	NP	Noun	México	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB			Singular	
MF073_1964_SA_SU2012_JB_02	tt-640	.	FS	Punctuation	.	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-641	Mmm	NP	Noun	mmm	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB			Singular	
MF073_1964_SA_SU2012_JB_02	tt-642	...	DOTS	Punctuation	...	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-643	existen	VLfin	Verb	existir	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB	Pres	Indi	Plural	3rd
MF073_1964_SA_SU2012_JB_02	tt-644	más	ADV	Adverb	más	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB				
MF073_1964_SA_SU2012_JB_02	tt-645	los	ART	Determiner	el	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB			Plural	
MF073_1964_SA_SU2012_JB_02	tt-646	Reyes	NP	Noun	Rey	>>s	00:00:13	00:00:18	3	Spanish	MF073_1964_SA_SU2012_JB			Plural	
