Clip ID	Word Number	Original Word	TreeTagger POS	POS	Lemma	Speaker	Start Time	End Time	SRT Line	Language	File ID	Tense	Mood	Number	Person	Gender
OM024_1933_CT_SU2011_VA_04	tt-654	lo	PPC	Pronoun	él	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-655	llamábamos	VLfin	Verb	llamar	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA	Imp	Indi	Plural	1st
OM024_1933_CT_SU2011_VA_04	tt-656	Boterito	NC	Noun	<unknown>	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-657	y	CC	Conjunction	y	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA				
OM024_1933_CT_SU2011_VA_04	tt-658	este	DM	Determiner	este	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-659	señor	NC	Noun	señor	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-660	cada	QU	Determiner	cada	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA				
OM024_1933_CT_SU2011_VA_04	tt-661	miércoles	NC	Noun	miércoles	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA			Plural	
OM024_1933_CT_SU2011_VA_04	tt-662	venía	VLfin	Verb	venir	>>i	00:00:12	00:00:19	3	Spanish	OM024_1933_CT_SU2011_VA	Imp	Indi	Sing	1st or 3rd
OM024_1933_CT_SU2011_VA_04	tt-663	a	PREP	Preposition	a	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA				
OM024_1933_CT_SU2011_VA_04	tt-664	la	ART	Determiner	el	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-665	ciudad	NC	Noun	ciudad	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-666	grande	ADJ	Adjective	grande	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-667	,	CM	Punctuation	,	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA				
OM024_1933_CT_SU2011_VA_04	tt-668	a	PREP	Preposition	a	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA				
OM024_1933_CT_SU2011_VA_04	tt-669	Medellín	NP	Noun	Medellín	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA			Singular	
OM024_1933_CT_SU2011_VA_04	tt-670	,	CM	Punctuation	,	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA				
OM024_1933_CT_SU2011_VA_04	tt-671	en	PREP	Preposition	en	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA				
OM024_1933_CT_SU2011_VA_04	tt-672	los	ART	Determiner	el	>>i	00:00:24	00:00:31	4	Spanish	OM024_1933_CT_SU2011_VA			Plural	
