Clip ID	Word Number	Original Word	TreeTagger POS	POS	Lemma	Speaker	Start Time	End Time	SRT Line	Language	File ID	Tense	Mood	Number	Person	Gender
MF025_1967_CT_SU2011_VA_08	tt-5072	,	CM	Punctuation	,	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5073	una	ART	Determiner	un	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5074	vez	NC	Noun	vez	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5075	,	CM	Punctuation	,	>>s	00:00:11	00:00:18	2	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5076	llegó	VLfin	Verb	llegar	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5077	mi	PPO	Pronoun	mío	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5078	esposo	NC	Noun	esposo	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5079	allí	ADV	Adverb	allí	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5080	buscando	VLger	Verb	buscar	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5081	a	PREP	Preposition	a	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5082	mi	PPO	Pronoun	mío	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5083	hermana	NC	Noun	hermano	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5084	,	CM	Punctuation	,	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5085	porque	CSUBX	Conjunction	porque	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5086	mi	PPO	Pronoun	mío	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5087	esposo	NC	Noun	esposo	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5088	es	VSfin	Verb	ser	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA	Pres	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5089	eh	NP	Noun	eh	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
