ClipId	Gram	Prag	Herit	Vocab,Vocab
MM005_1967_EP_SU2011_AD_14	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Revision		Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:ser,Verb:hacer,Noun:ciudadano,Verb:tener,Verb:decir,Verb:estar,Noun:año,Verb:registrar,Verb:haber,Noun:nombre,Noun:examen,Noun:oficina,Verb:dar,Noun:país,Noun:ciudadanía,Verb:vivir,Noun:experiencia,Adjective:obligatorio,Verb:saber,Verb:pasar,Noun:ser,Noun:agente,Adjective:segundo,Verb:entrevistar,Noun:acuerdo,Noun:ceremonia,Noun:persona,Verb:preguntar,Verb:recordar,Verb:mandar,Verb:tocar
MM005_1967_EP_SU2011_AD_15	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision		Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:hablar,Verb:ser,Adjective:español,Noun:clase,Noun:inglés,Noun:español,Adjective:secundario,Verb:tener,Noun:escuela,Noun:Juárez,Verb:escribir,Verb:leer,Noun:lengua,Verb:hacer,Verb:estar,Noun:ciudad,Adjective:cómodo,Noun:hermano,Noun:día,Adjective:primario,Verb:usar
MM012_1925_EP_SU2011_AD_01	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,Prep,Prep:Por,Pron,Pron:Objeto,SerEstar,SerEstar:Ser			,Verb:ser,Noun:pueblo,Verb:hacer,Noun:familia,Verb:tener,Verb:crecer,Verb:nacer,Noun:tiempo,Noun:infancia,Noun:historia,Noun:año,Noun:trigo,Adjective:mismo,Adjective:favorito,Adjective:tranquilo,Noun:Chihuahua,Noun:maíz,Verb:vivir
MM012_1925_EP_SU2011_AD_02	Det,Det:Art,Det:Pos,Gustar,Gustar:Interlocutor,Imperf,Indefinido,Prep,Prep:Por,Pron,Pron:Objeto,SerEstar,SerEstar:Ser,Gustar,Gustar:Propios	MarcadoresDisc,MarcadoresDisc:Causa		,Verb:trabajar,Verb:gustar,Adjective:tranquilo,Noun:profesión,Noun:trabajo,Verb:ser,Verb:nacer,Noun:gusto
MM012_1925_EP_SU2011_AD_03	Det,Det:Art,Det:Demo,Det:Pos,Imperf,Indefinido,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,RecuDiscurso,RecuDiscurso:GanarTiempo		Entities,Entities:Geo,Verb:ser,Verb:venir,Verb:hacer,Verb:llegar,Noun:México,Noun:edad,Noun:Unidos,Noun:impresión
MM012_1925_EP_SU2011_AD_04	Det,Det:Art,Det:Pos,Imperf,Indefinido,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,SerEstar,SerEstar:Estar	MarcadoresDisc,MarcadoresDisc:Revision		Entities,Entities:Geo,Verb:sentir
MM012_1925_EP_SU2011_AD_05	Det,Det:Art,Det:Demo,Haber,Haber:Exist,Indefinido,Prep,Pron,Pron:Objeto,MSub,MSub:Pres	MarcadoresDisc,MarcadoresDisc:Revision		,Verb:haber,Verb:pensar,Verb:cambiar,Verb:estudiar
MM012_1925_EP_SU2011_AD_06	Det,Det:Art,Prep,Prep:Por,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa		,Verb:ser
MM014_1961_EP_SU2011_AD_01	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,MarcadoresDisc,MarcadoresDisc:Igualdad		Entities,Entities:Geo,Verb:ser,Verb:tener,Verb:pasar,Noun:Chihuahua,Adjective:bueno,Noun:niñez,Verb:trabajar,Verb:venir,Verb:ayudar,Noun:experiencia,Verb:hacer,Noun:madre,Noun:familia,Noun:ciudad,Noun:historia,Noun:hermano,Noun:eh,Noun:estado
MM014_1961_EP_SU2011_AD_02	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Genero,Genero:ExcepMasc,PerfPerif,SerEstar,SerEstar:EstarAux			,Noun:familia,Verb:ser,Noun:madre,Verb:estar,Verb:haber,Noun:casa,Noun:hermano,Noun:día,Verb:celebrar
