clip_id	gram_tags	prag_tags	func_tags	herit_tags	vocab_tags
MM052_1989_GV_FA2011_JT_04	Det,Det:Art,Det:CuantIndef,Det:Pos,Imperf,Indefinido,MSub,MSub:Pret,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:DetCombi,Det:LoAdj,Gustar,Gustar:Propios	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad			,Verb:ser,Noun:Valle,Noun:México,Noun:ciudad,Verb:regresar,Adjective:orgulloso,Noun:fin,Verb:gustar,Adjective:mexicano,Noun:semana,Verb:pasar
MM052_1989_GV_FA2011_JT_05	Det,Det:Art,Det:CuantIndef,Det:Pos,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado,Det,Det:DetCombi,Det:LoAdj,Genero,Genero:ExcepMasc	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad			Fraseol,Fraseol:VerbPrep,Verb:ser,Verb:mezclar,Noun:español,Noun:lengua,Verb:hablar,Noun:Valle,Noun:inglés,Adjective:igual,Verb:estar,Noun:estudiante,Noun:padre,Noun:amigo,Noun:familia,Noun:casa,Adjective:correcto,Verb:considerar,Adjective:nuevo,Noun:idioma,Verb:depender,Adjective:diario
MM052_1989_GV_FA2011_JT_06	Det,Det:Art,Det:CuantIndef,Det:Pos,Prep,Prep:Para,Pron,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:LoAdj	MarcadoresDisc,MarcadoresDisc:Igualdad			Fraseol,Fraseol:VerbPrep,Verb:ser,Adjective:diferente,Noun:región,Noun:manera,Adjective:chico,Verb:hablar,Noun:significado,Noun:México,Verb:vivir
MM067_1993_CT_SU2012_CL_01	Det,Det:Art,Det:Demo,Det:Pos,Imperf,Indefinido,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			Fraseol,Fraseol:VerbPrep,Verb:ser,Noun:español,Noun:clase,Noun:inglés,Adjective:secundario,Adjective:primario,Adjective:inglés,Verb:aprender,Verb:tomar,Noun:área,Adjective:puro,Noun:Houston,Noun:oeste,Noun:escuela,Adjective:hispano,Adjective:okay,Verb:tener,Noun:año,Verb:hablar,Verb:poder,Adjective:español,Adjective:bueno
MM067_1993_CT_SU2012_CL_02	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Imperf,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:LoAdj	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad			Fraseol,Fraseol:VerbPrep,Verb:ser,Noun:México,Noun:cultura,Noun:español,Noun:hermano,Verb:venir,Adjective:puro,Verb:estar,Adjective:mexicano,Noun:papá,Noun:área,Noun:inglés,Noun:familia,Noun:infancia,Verb:hablar,Noun:estado,Adjective:español,Adjective:diferente,Adjective:indígena
MM067_1993_CT_SU2012_CL_03	Det,Det:Art,Det:CuantIndef,Det:Pos,Imperf,Indefinido,Prep,Prep:Para,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:DetCombi,Det:LoAdj,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad			Entities,Entities:Geo,Verb:hacer,Verb:ser,Noun:familia,Noun:tradición,Adjective:mexicano,Verb:estar,Noun:veterinario,Noun:fiesta,Noun:padre,Noun:papá,Noun:mamá,Noun:eh,Verb:poder,Noun:química,Noun:trabajo,Noun:ganado,Verb:tener,Adjective:importante,Noun:unidad,Noun:cosa,Verb:conocer
MM067_1993_CT_SU2012_CL_04	Det,Det:Art,Det:CuantIndef,Det:Pos,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			Entities,Entities:Geo,Noun:comida,Verb:ser,Verb:hacer,Verb:ver,Noun:vez,Verb:decide,Noun:carne,Verb:estar,Adjective:mucho,Adjective:mexicano,Verb:poder,Noun:mexicano,Verb:comer
MM067_1993_CT_SU2012_CL_05	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:DetCombi,Det:LoAdj,MSub,MSub:Pres,PerfPerif,SerEstar,SerEstar:EstarAux,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:poder,Verb:ser,Verb:ayudar,Verb:haber,Noun:español,Noun:Unidos,Noun:importancia,Noun:país,Verb:tener,Noun:gente,Verb:estar,Noun:inglés,Noun:año,Noun:apartamento,Noun:trabajo,Verb:llegar,Noun:padre,Verb:hallar,Verb:hablar,Verb:querer,Noun:hogar,Verb:hacer,Noun:tiempo,Noun:carrera,Noun:educación,Adjective:difícil,Noun:mexicano,Verb:crecer,Adjective:importante,Verb:beneficiar,Noun:barrera,Verb:vivir
MM067_1993_CT_SU2012_CL_06	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Gustar,Gustar:Interlocutor,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:DetCombi,Det:LoAdj,Gustar,Gustar:Propios,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			Entities,Entities:Geo,Verb:ser,Verb:estar,Verb:poder,Verb:hacer,Verb:tener,Noun:carrera,Verb:ayudar,Noun:país,Noun:momento,Noun:universidad,Noun:trabajo,Noun:plan,Verb:hallar,Noun:etcétera,Adjective:propio,Noun:edificio,Verb:gustar,Noun:sueño
MM067_1993_CT_SU2012_CL_07	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:LoAdj,PerfPerif	MarcadoresDisc,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:ser,Noun:español,Noun:inglés,Verb:hablar,Noun:persona,Noun:amigo,Verb:conocer,Verb:tener,Verb:acercar,Adjective:español,Adjective:inglés,Adjective:amigo,Verb:vivir,Noun:vez,Adjective:bilingüe,Verb:haber,Adjective:secundario,Adjective:primero,Noun:vida,Noun:costumbre,Noun:caso,Noun:gente,Verb:ver,Adjective:latino
